tipo_entidad,nombre_tipo_entidad,codigo_entidad,nombre_entidad,fecha_corte,cod_clase,cod_grupo,cod_cuenta,subcuenta,nombre_cuenta_puc,signo_valor,moneda_total_0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,51,10,DERECHOS DE VENTA SOBRE DIVISAS,+,201297047250.55
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,51,35,OBLIGACIONES DE VENTA SOBRE DIVISAS,+,201245796400.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,52,0,CONTRATOS FORWARD - DE NEGOCIACIÓN,+,11913506236.34
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,52,5,DE MONEDAS (PESO/DÓLAR),+,11913506236.34
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,3,95,0,DETERIORO EN INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI,+,697480157.32
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,0,0,CARTERA DE CRÉDITOS Y OPERACIONES DE LEASING FINANCIERO,+,20568078839254.5
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,0,CARTERA DE VIVIENDA Y OPERACIONES DE LEASING HABITACIONAL,+,1003476723427.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,5,CATEGORÍA A RIESGO NORMAL CARTERA DE VIVIENDA,+,781037302734.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,10,CATEGORÍA A RIESGO NORMAL LEASING HABITACIONAL,+,179370658041.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,15,CATEGORÍA B RIESGO ACEPTABLE CARTERA DE VIVIENDA,+,11739529995.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,20,CATEGORÍA B RIESGO ACEPTABLE LEASING HABITACIONAL,+,3523822479.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,25,CATEGORÍA C RIESGO APRECIABLE CARTERA DE VIVIENDA,+,8566695183.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,30,CATEGORÍA C RIESGO APRECIABLE LEASING HABITACIONAL,+,2001315651.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,35,CATEGORÍA D RIESGO SIGNIFICATIVO CARTERA DE VIVIENDA,+,2489824223.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,40,CATEGORÍA D RIESGO SIGNIFICATIVO LEASING HABITACIONAL,+,611520193.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,45,CATEGORÍA E RIESGO DE INCOBRABILIDAD CARTERA DE VIVIENDA,+,11531231651.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,4,50,CATEGORÍA E RIESGO DE INCOBRABILIDAD LEASING HABITACIONAL,+,2604823277.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,8,0,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,+,14251054171821.2
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,8,5,CATEGORÍA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING DE CONSUMO,+,13646267871051.8
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,8,10,CATEGORÍA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEASING DE CONSUMO,+,101493068893.7
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,8,15,CATEGORÍA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEASING DE CONSUMO,+,90942586780.08
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,8,20,CATEGORÍA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE LEASING DE CONSUMO,+,195403685250.16
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,8,25,CATEGORÍA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES DE LEASING DE CONSUMO,+,216946959845.41
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,10,0,CARTERA Y OPERACIONES DE LEASING COMERCIALES,+,6365350424137.71
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,10,5,CATEGORÍA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING COMERCIALES,+,5957073087792.05
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,10,10,CATEGORÍA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEASING COMERCIALES,+,51663301001.95
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,10,15,"CATEGORÍA C RIESGO APRECIABLE, CARTERA Y OPERACIONES DE LEASING COMERCIALES",+,143318148711.84
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,10,20,CATEGORÍA D RIESGO SIGNIFICATIVO CARTERA Y OPERACIONES DE LEASING COMERCIALES,+,42456736849.18
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,10,25,CATEGORÍA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES DE LEASING COMERCIALES,+,170839149782.69
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,12,0,CARTERA Y LEASING DE MICROCRÉDITOS,+,3523354086.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,12,5,CATEGORÍA A RIESGO NORMAL,+,3082805839.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,12,10,CATEGORÍA B RIESGO ACEPTABLE,+,25801337.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,12,15,CATEGORÍA C RIESGO APRECIABLE,+,64758250.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,12,20,CATEGORÍA D RIESGO SIGNIFICATIVO,+,24389971.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,12,25,CATEGORÍA E RIESGO DE INCOBRABILIDAD,+,325598689.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,14,0,PRÉSTAMOS A EMPLEADOS,+,167924250316.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,14,5,"CATEGORÍA A RIESGO NORMAL, VIVIENDA",+,150788665230.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,14,15,"CATEGORÍA C RIESGO APRECIABLE, VIVIENDA",+,25934028.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,14,60,"CATEGORÍA A RIESGO NORMAL, CONSUMO",+,17085483671.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,14,80,"CATEGORÍA E RIESGO DE INCOBRABILIDAD, CONSUMO",+,24167387.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,87,0,DETERIORO COMPONENTE CONTRACÍCLICO INDIVIDUAL,+,208230227778.04
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,87,5,CRÉDITOS Y OPERACIONES DE LEASING DE CONSUMO,+,180001946234.82
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,87,10,CRÉDITOS Y OPERACIONES DE LEASING COMERCIALES,+,28228281543.22
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,88,0,DETERIORO (PROVISIÓN) PRÉSTAMOS A EMPLEADOS,+,1689934822.81
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,88,5,"CATEGORÍA A RIESGO NORMAL, VIVIENDA",+,1507886652.3
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,88,15,"CATEGORÍA C RIESGO APRECIABLE, VIVIENDA",+,2670946.8
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,88,60,"CATEGORÍA A RIESGO NORMAL, CONSUMO",+,170854836.71
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,88,80,"CATEGORÍA E RIESGO DE INCOBRABILIDAD, CONSUMO",+,8522387.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,0,DETERIORO (PROVISIÓN) CARTERA DE VIVIENDA Y LEASING HABITACIONAL,+,17945332169.77
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,5,CATEGORÍA A - CRÉDITO NORMAL CARTERA DE VIVIENDA,+,7810373027.34
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,10,CATEGORÍA A - CRÉDITO NORMAL LEASING HABITACIONAL,+,1793706580.41
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,15,CATEGORÍA B - CRÉDITO ACEPTABLE CARTERA DE VIVIENDA,+,375664959.86
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,20,CATEGORÍA B - CRÉDITO ACEPTABLE LEASING HABITACIONAL,+,112762319.36
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,25,CATEGORÍA C - CRÉDITO APRECIABLE CARTERA DE VIVIENDA,+,856669518.3
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,30,CATEGORÍA C - CRÉDITO APRECIABLE LEASING HABITACIONAL,+,200131565.1
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,35,CATEGORÍA D - CRÉDITO SIGNIFICATIVO CARTERA DE VIVIENDA,+,497964844.6
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,40,CATEGORÍA D - CRÉDITO SIGNIFICATIVO LEASING HABITACIONAL,+,122304038.6
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,45,CATEGORÍA E - CRÉDITO IRRECUPERABLE CARTERA DE VIVIENDA,+,5242157973.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,89,50,CATEGORÍA E - CRÉDITO IRRECUPERABLE LEASING HABITACIONAL,+,933597343.2
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,91,0,DETERIORO (PROVISIÓN) CARTERA Y OPERACIONES DE LEASING DE CONSUMO,+,598378928677.79
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,91,5,CATEGORÍA A - CRÉDITO NORMAL CARTERA DE CONSUMO,+,225285600517.71
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,91,10,CATEGORÍA B - CRÉDITO ACEPTABLE CARTERA DE CONSUMO,+,6284619273.61
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,91,15,CATEGORÍA C - CRÉDITO APRECIABLE CARTERA DE CONSUMO,+,9890655747.48
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,91,20,CATEGORÍA D - CRÉDITO SIGNIFICATIVO CARTERA DE CONSUMO,+,140830705070.75
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,91,25,CATEGORÍA E - CRÉDITO IRRECUPERABLE CARTERA DE CONSUMO,+,216087348068.24
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,93,0,DETERIORO (PROVISIÓN) MICROCRÉDITOS,+,377594537.67
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,93,5,CATEGORÍA A - CRÉDITO NORMAL,+,30828058.39
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,93,10,CATEGORÍA B - CRÉDITO ACEPTABLE,+,825642.78
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,93,15,CATEGORÍA C - CRÉDITO APRECIABLE,+,9637569.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,93,20,CATEGORÍA D - CRÉDITO SIGNIFICATIVO,+,12194985.5
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,93,25,CATEGORÍA E - CRÉDITO IRRECUPERABLE,+,324108282.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,95,0,DETERIORO (PROVISIÓN) CRÉDITOS Y OPERACIONES DE LEASING COMERCIALES,+,262411659919.92
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,95,5,CATEGORÍA A - CRÉDITO NORMAL,+,47974392339.56
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,95,10,CATEGORÍA B - CRÉDITO ACEPTABLE,+,2365230857.17
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,95,15,CATEGORÍA C - CRÉDITO APRECIABLE,+,18105090206.3
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,95,20,CATEGORÍA D - CRÉDITO SIGNIFICATIVO,+,23127796734.2
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,95,25,CATEGORÍA E - CRÉDITO IRRECUPERABLE,+,170839149782.69
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,98,0,DETERIORO (PROVISIÓN) GENERAL,+,134216406627.37
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,98,5,VIVIENDA Y LEASING HABITACIONAL,+,11542919866.41
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,98,10,MICROCREDITO,+,35233275.06
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,98,15,CONSUMO,+,171096754.9
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,4,98,30,PROVISIÓN GENERAL ADICIONAL,+,122467156731.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,0,0,CUENTAS POR COBRAR,+,376106521318.33
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,0,INTERESES,+,180172544274.85
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,10,"CATEGORÍA A RIESGO NORMAL, VIVIENDA",+,11484347474.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,12,"CATEGORÍA B RIESGO ACEPTABLE, VIVIENDA",+,561916380.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,14,"CATEGORÍA C RIESGO APRECIABLE, VIVIENDA",+,308201169.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,16,"CATEGORÍA D RIESGO SIGNIFICATIVO, VIVIENDA",+,28580679.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,18,"CATEGORÍA E RIESGO DE INCOBRABILIDAD, VIVIENDA",+,151784500.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,20,"CATEGORÍA A RIESGO NORMAL, CONSUMO",+,106232984798.56
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,22,"CATEGORÍA B RIESGO ACEPTABLE, CONSUMO",+,2127106292.18
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,24,"CATEGORÍA C RIESGO APRECIABLE, CONSUMO",+,1590890142.24
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,26,"CATEGORÍA D RIESGO SIGNIFICATIVO, CONSUMO",+,2816138801.09
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,28,"CATEGORÍA E RIESGO DE INCOBRABILIDAD, CONSUMO",+,5882359176.56
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,30,"CATEGORÍA A RIESGO NORMAL, MICROCRÉDITO",+,33977517.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,32,"CATEGORÍA B RIESGO ACEPTABLE, MICROCRÉDITO",+,1780050.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,34,"CATEGORÍA C RIESGO APRECIABLE, MICROCRÉDITO",+,925127.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,36,"CATEGORÍA D RIESGO SIGNIFICATIVO, MICROCRÉDITO",+,434157.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,38,"CATEGORÍA E RIESGO DE INCOBRABILIDAD, MICROCRÉDITO",+,10761984.0
1,ESTABLECIMIENTOS BANCARIOS,2,BANCO POPULAR,2021-07-31T00:00:00.000,1,6,5,40,"CATEGORÍA A RIESGO NORMAL, COMERCIAL",+,35106424792.01
